sub_id,Trial,RT,Resp,Error,Fix_onset,Disp_onset,block,repeat,tid,tloc,d_setsize,quad1,quad2,quad3,quad4,loc1,loc2,loc3,loc4,loc5,loc6,loc7,loc8,loc9,loc10,loc11,loc12,loc13,loc14,loc15,loc16,loc17,loc18,loc19,loc20,loc21,loc22,loc23,loc24,loc25,loc26,loc27,loc28,loc29,loc30,loc31,loc32,loc33,loc34,loc35,loc36
16,1,533.665443246719,0,1,455930.910872846,455931.957947412,1,1,1,3,31,228035884,260263501,177516883,255338542,41410909,40101819,-3080191,40310409,0,40011119,31710009,10200219,21211209,21901909,31110609,41711219,31011809,20401209,10201309,42001709,20011709,41912019,10001309,0,0,30511209,40300119,21200309,31900919,21801709,21801309,40311819,30801919,20810209,20400519,31401819,40010019,0,40000919,31601319
16,2,461.747806402855,1,0,455933.510929589,455934.558023404,1,1,1,34,3,0,32801018,0,14983149,0,0,0,0,0,0,0,0,0,12001009,0,0,0,20800009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11802019,0,0,-3181130,0,0
16,3,703.287326905411,1,0,455936.052234361,455937.099270431,1,1,1,1,19,54622989,209435993,207156894,124035836,-3111161,41400309,0,0,0,0,10111519,0,0,0,21400919,21500709,40610609,0,41502019,11610509,32000509,40810719,41410609,41811219,22011419,40302009,21310819,0,0,0,40310819,0,40112009,0,30200609,41711809,12011409,0,0,0
16,4,387.555435299873,0,1,455938.969912769,455940.017004273,1,1,1,7,9,2120171,84312266,92402047,63102128,0,0,0,0,0,0,-2120171,0,0,0,30500219,0,0,0,21300819,11611209,20900019,0,31400319,0,0,0,0,0,0,20000809,41000919,0,0,0,0,0,0,41900919,0,21201209
16,5,320.534116937779,1,0,455941.581750472,455942.628852371,1,0,1,22,9,0,53912037,64263398,115214636,0,0,0,0,0,0,0,0,0,0,0,0,21800109,20710409,0,11401519,0,0,0,41211719,0,-3051070,20000609,0,0,0,0,0,40802009,0,42001409,10700909,0,0,0,21710309
16,6,426.883047039155,0,0,455944.040663204,455945.087750089,1,0,0,26,9,82422957,53723637,31800140,72103528,31210919,0,0,40711519,0,0,0,10500519,0,0,21511719,0,0,0,0,20601709,11610209,0,0,0,0,30710009,0,0,0,-1090131,0,0,0,0,0,0,0,30601809,41501719,0
16,7,392.479086003732,1,0,455946.628967474,455947.676054744,1,0,1,12,19,136745094,66293588,165413275,127433875,11610019,0,20800919,21011109,20011109,41611919,21700019,0,0,0,0,-2181141,0,0,31700819,0,11910909,20500719,41001319,32000809,20600619,0,40010209,0,0,31800319,0,0,31910419,0,10500119,0,32000819,41110909,11911609,0
16,8,370.188691478688,0,0,455949.07610579,455950.123183821,1,1,0,19,19,163724484,226636284,65734848,93334876,40511809,10310609,30700619,0,10800819,0,40500409,0,30900219,40510319,0,0,31311219,0,40210009,41201309,41701909,31701519,-2011091,0,0,21111919,11800619,30811219,0,0,0,0,10201019,0,0,0,40211419,22010519,0,20911919
16,9,326.948336500209,1,0,455951.5703845,455952.617375145,1,0,1,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-21100301,0,0
16,10,331.165666051675,0,1,455954.064525779,455955.111366977,1,0,1,2,19,125733807,166346465,173644774,95212446,31510119,-2011151,0,40900019,0,40301409,0,0,11011109,40411419,0,0,30911509,0,0,31912009,31810719,31300809,11501609,21210319,0,40411009,0,40000219,0,30111509,30410109,0,0,21700319,0,20700109,41201209,11610809,0,0
16,11,304.381924914196,0,0,455956.499845793,455957.546935373,1,0,0,21,3,0,41510919,35092010,21911409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41510919,0,0,0,31901909,0,-3190101,0,0,0,0,0,0,0,0,0,0,0,0,0,21911409,0
16,12,353.824385965709,0,0,455959.029341887,455960.076424153,1,1,0,25,3,61401318,0,1040190,31910219,0,0,0,0,0,0,0,41200309,20201009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1040190,0,0,0,0,31910219,0,0,0,0,0,0
16,13,338.461363920942,0,0,455961.464703862,455962.511794212,1,1,0,32,3,0,41711109,42510418,4011071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41711109,0,0,20800409,0,0,0,0,0,0,21710009,0,0,0,0,0,-4011071,0,0,0,0
16,14,345.184707141016,1,0,455963.958919439,455965.005980531,1,0,1,9,3,2070160,0,40922128,21110609,0,0,0,0,0,0,0,0,-2070160,0,0,0,0,0,0,0,0,0,0,0,10711909,0,0,0,30210219,0,0,0,0,0,0,0,0,21110609,0,0
16,15,358.333433687221,0,0,455966.453081506,455967.500166081,1,0,0,15,31,228327102,168807985,202430021,210356112,10402019,10600309,31910719,41200809,41901709,41110809,21000719,30200009,0,11111009,0,31000509,11101019,41102019,-2081201,40501309,0,31910919,21702009,20001819,41301219,21501409,11700309,11800109,31511219,21401419,21510509,41600109,40600009,11911719,31101419,21710409,30910619,20710809,0,11811019
16,16,296.527181460988,1,0,455969.029631378,455970.076714028,1,1,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-41301001,0,0,0,0,0,0
16,17,478.838148294017,0,0,455971.500296198,455972.547376153,1,1,0,5,9,42912070,82113437,74413747,51521038,0,0,0,0,-1001051,41911019,0,0,0,0,0,0,0,0,20400009,0,20611609,41101819,22001809,0,0,0,21600419,0,0,0,30811519,0,30110319,0,21410719,0,0,0,0,0
16,18,359.408244665246,1,0,455974.182731122,455975.229809153,1,1,1,14,9,101902347,2121090,105332537,73023957,41101719,20500419,0,0,0,40300209,0,0,0,0,0,0,0,-2121090,0,0,0,0,0,31910209,31412009,0,0,0,42010319,0,0,0,0,21710919,0,0,0,40301519,11011519,0
16,19,361.65449192049,0,0,455976.759312946,455977.806425623,1,1,0,13,19,77936265,138475295,122031966,133937985,0,0,21711409,11711919,20600019,0,12011409,0,11901509,41710109,0,21301909,-4051150,30400609,0,0,10800209,30211309,40600919,0,0,10810219,0,0,0,30210309,40410519,0,0,0,10311519,31101519,31502019,30311419,30711509,0
16,20,552.463087020442,0,0,455979.241699442,455980.288787867,1,1,0,29,31,208860982,206938402,189057522,170428414,30901809,0,20410409,31411809,21810909,20401909,21411919,30601909,31910309,10700809,30101419,11711609,0,41401509,40300309,21012019,21210009,30500719,30711919,11410819,21810309,21310919,21210709,30500709,40101419,12000719,0,22000409,-3170011,22011719,30311419,0,30312019,11611109,20500519,30511209
16,21,302.201891026925,1,1,455981.888888496,455982.935918021,1,0,0,11,31,168938911,159548354,222168611,225138113,20100019,11701619,11210909,40610009,21101409,10201019,10301909,12010709,31701309,40211519,-4000160,40510909,21011419,31212019,11601619,11000709,0,0,31000819,20511609,31011709,41401809,12000019,11010609,21810319,11611409,41810309,20610109,30600619,40301409,0,0,40911819,30500819,21201419,41011919
16,22,600.808409275487,1,0,455984.277142798,455985.324217364,1,0,1,35,9,10711209,84524456,30912138,55682468,0,0,0,0,0,0,0,10711209,0,0,0,30100609,0,0,31511719,0,10900519,12011609,0,10010119,0,0,0,0,20902019,0,0,40300809,0,0,0,0,11201609,0,-4180050,0
16,23,342.772156756837,0,0,455987.077225256,455988.124307137,1,0,0,27,19,133732466,113523636,110144206,158436084,0,0,0,30510109,20710819,41510419,0,41001119,0,0,0,30700909,0,0,40610409,0,30310309,11902009,0,11701709,21200309,21800709,21510719,0,0,31900709,-2030051,32001219,30910609,21901409,21911019,0,0,41401719,0,10310109
16,24,366.948475013487,1,1,455989.547892771,455990.594966567,1,0,0,6,3,33981310,10511309,31810819,0,0,0,0,0,31911209,-2070101,0,0,0,0,0,0,0,0,0,0,10511309,0,0,0,31810819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,25,535.854331334122,1,0,455992.042105653,455993.08916636,1,0,1,36,31,177958312,156439421,144934893,211558963,40201019,22000109,0,31311409,30911019,10810309,20501009,11911519,10311919,20400309,10401919,20411509,31901909,20300009,10511319,20201509,10910719,11400219,20010309,0,0,20900919,20201219,10101709,10600419,31310209,31810109,41401909,10701619,11711619,31600819,0,41600219,31911709,40510909,-2120160
16,26,332.578390545677,0,0,455994.689225028,455995.736303829,1,1,0,8,31,142587034,178868141,195068712,219345722,11500819,10301309,11910909,41901619,21211509,0,0,-4050160,41710709,10900519,11711119,30100719,31910819,11010619,10912019,30510809,30300809,11510709,10311009,10910809,42001419,20110019,30111309,40801409,10611519,0,30211219,40710409,30610119,41701019,20311309,20400619,11801019,31911109,21900119,0
16,27,448.41237377841,0,1,456007.207245051,456008.254324237,2,1,1,1,19,54622989,209435993,207156894,124035836,-3111161,41400309,0,0,0,0,10111519,0,0,0,21400919,21500709,40610609,0,41502019,11610509,32000509,40810719,41410609,41811219,22011419,40302009,21310819,0,0,0,40310819,0,40112009,0,30200609,41711809,12011409,0,0,0
16,28,404.573019535746,1,0,456009.866142692,456010.913238816,2,1,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-41301001,0,0,0,0,0,0
16,29,376.080903923139,0,0,456012.489744418,456013.536825913,2,0,0,2,31,200005623,279565401,136961002,167267793,11600809,-3160130,41211009,41501019,0,31010509,30810319,30501309,10210519,40800609,11201309,40810219,10500809,31110609,41510109,31710209,41010719,30910809,30711519,11302009,20210909,0,31801709,11701809,10110419,10911209,10211419,40411519,11101909,0,11810319,31410309,30510609,20111209,0,21911919
16,30,344.872118788771,0,0,456015.042752002,456016.08990587,2,1,0,25,3,61401318,0,1040190,31910219,0,0,0,0,0,0,0,41200309,20201009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1040190,0,0,0,0,31910219,0,0,0,0,0,0
16,31,400.967475201469,0,0,456017.548712353,456018.595792693,2,0,0,26,31,250959641,260180321,159935845,216024103,41010519,32001309,22010509,21011319,10210719,30611719,21401209,30901619,41800719,31810219,20610709,21711409,20611719,40711609,21111209,42001219,20410209,41202019,30511409,11500819,31100809,40810919,0,0,11901619,-2110061,32000209,30800119,0,20210019,41210009,0,41901019,20200519,41001409,20701009
16,32,354.496527812444,1,0,456020.125252986,456021.17234834,2,1,1,34,3,0,32801018,0,14983149,0,0,0,0,0,0,0,0,0,12001009,0,0,0,20800009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11802019,0,0,-3181130,0,0
16,33,401.562239858322,1,0,456022.595929739,456023.6430147,2,1,1,5,9,42912070,82113437,74413747,51521038,0,0,0,0,-1001051,41911019,0,0,0,0,0,0,0,0,20400009,0,20611609,41101819,22001809,0,0,0,21600419,0,0,0,30811519,0,30110319,0,21410719,0,0,0,0,0
16,34,476.395186036825,1,0,456025.078344723,456026.125437767,2,1,1,29,31,208860982,206938402,189057522,170428414,30901809,0,20410409,31411809,21810909,20401909,21411919,30601909,31910309,10700809,30101419,11711609,0,41401509,40300309,21012019,21210009,30500719,30711919,11410819,21810309,21310919,21210709,30500709,40101419,12000719,0,22000409,-3170011,22011719,30311419,0,30312019,11611109,20500519,30511209
16,35,360.327916394454,0,0,456027.784310771,456028.831433072,2,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-21400301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,36,406.011618673801,0,0,456030.219661582,456031.266773874,2,1,0,7,9,2120171,84312266,92402047,63102128,0,0,0,0,0,0,-2120171,0,0,0,30500219,0,0,0,21300819,11611209,20900019,0,31400319,0,0,0,0,0,0,20000809,41000919,0,0,0,0,0,0,41900919,0,21201209
16,37,377.638840931468,0,0,456032.866821378,456033.91388709,2,0,0,21,3,0,31010409,1121040,51901828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31010409,0,0,0,0,0,-1121040,0,0,0,0,0,0,30601109,0,0,21300719,0,0,0,0,0
16,38,338.68887583958,0,0,456035.41985899,456036.466916618,2,0,0,27,31,166447423,208949802,190449663,187358212,0,40810819,0,21001319,21011219,11601119,30710209,11100919,30211819,21010609,41500409,31111419,10310609,31201919,10311309,41501519,22002009,0,30411109,31411319,10711119,30911519,10011719,21110319,10310719,41400809,-4171031,0,10001419,20911719,32011009,31700309,21810009,30311419,20110909,20501419
16,39,362.127223925199,0,1,456037.949312738,456038.996399238,2,1,1,13,19,77936265,138475295,122031966,133937985,0,0,21711409,11711919,20600019,0,12011409,0,11901509,41710109,0,21301909,-4051150,30400609,0,0,10800209,30211309,40600919,0,0,10810219,0,0,0,30210309,40410519,0,0,0,10311519,31101519,31502019,30311419,30711509,0
16,40,405.27172369184,1,0,456040.455275013,456041.502357279,2,0,1,15,9,21012019,91283078,92813947,42512628,0,0,0,0,21012019,0,0,0,0,0,0,0,0,0,-1070151,30000509,30101209,30111209,40011519,31100909,0,21701519,0,0,0,0,0,0,0,0,0,11310719,0,0,31201909,0
16,41,418.940917472355,1,0,456042.949455558,456043.996574395,2,1,1,19,19,163724484,226636284,65734848,93334876,40511809,10310609,30700619,0,10800819,0,40500409,0,30900219,40510319,0,0,31311219,0,40210009,41201309,41701909,31701519,-2011091,0,0,21111919,11800619,30811219,0,0,0,0,10201019,0,0,0,40211419,22010519,0,20911919
16,42,550.508255255409,0,0,456045.526018904,456046.573094625,2,1,0,8,31,142587034,178868141,195068712,219345722,11500819,10301309,11910909,41901619,21211509,0,0,-4050160,41710709,10900519,11711119,30100719,31910819,11010619,10912019,30510809,30300809,11510709,10311009,10910809,42001419,20110019,30111309,40801409,10611519,0,30211219,40710409,30610119,41701019,20311309,20400619,11801019,31911109,21900119,0
16,43,423.963118169922,0,0,456048.314353124,456049.361415372,2,0,0,22,3,23310928,0,3000160,41200709,0,0,0,0,0,11800409,0,0,11510519,0,0,0,0,0,0,0,0,0,0,0,0,-3000160,0,0,0,0,0,0,0,0,41200709,0,0,0,0,0
16,44,746.877226454671,1,0,456050.914401013,456051.961552187,2,0,1,6,19,130314435,104557094,83125456,92614546,0,11800209,0,32010409,31400919,-3091080,10301209,41710609,0,20911419,0,30010009,11411809,0,0,10211719,11500219,20511919,0,20111219,0,0,10501609,0,40601319,11911309,0,0,21001509,0,0,0,20311709,0,31000209,20301119
16,45,469.679927045945,1,0,456053.902757484,456054.949815882,2,1,1,3,31,228035884,260263501,177516883,255338542,41410909,40101819,-3080191,40310409,0,40011119,31710009,10200219,21211209,21901909,31110609,41711219,31011809,20401209,10201309,42001709,20011709,41912019,10001309,0,0,30511209,40300119,21200309,31900919,21801709,21801309,40311819,30801919,20810209,20400519,31401819,40010019,0,40000919,31601319
16,46,403.121331764851,1,0,456056.491046741,456057.538127081,2,1,1,14,9,101902347,2121090,105332537,73023957,41101719,20500419,0,0,0,40300209,0,0,0,0,0,0,0,-2121090,0,0,0,0,0,31910209,31412009,0,0,0,42010319,0,0,0,0,21710919,0,0,0,40301519,11011519,0
16,47,426.135452871677,1,0,456059.091119267,456060.138212312,2,0,1,35,19,187846884,62833547,123844785,119124536,31611609,32010509,31700209,40911419,31611119,0,0,0,20002019,20211819,0,0,0,0,21610419,21011309,0,0,10611309,0,40011619,0,10610219,0,41400519,0,21211119,21210419,0,42011309,10300609,11510409,0,0,-4081181,30010609
16,48,530.156909080688,0,0,456061.750008054,456062.797108413,2,0,0,12,9,71933027,71883168,42115047,10810509,0,30010209,0,0,0,11811409,30111409,0,0,0,0,-1070140,30001919,0,0,40811109,0,0,0,11211919,0,0,20501709,0,0,0,10401419,0,10810509,0,0,0,0,0,0,0
16,49,383.042152971029,1,0,456064.491283492,456065.538425041,2,0,1,9,3,45221849,20011919,0,11100909,0,0,41101709,0,0,0,0,0,-4120140,0,0,0,0,20011919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11100909,0,0,0
16,50,665.18735565478,0,0,456067.056058948,456068.103147757,2,0,0,36,9,11101219,94944156,62123637,22491519,11101219,0,0,0,0,0,0,0,0,0,12011209,20710019,40211309,22011619,0,0,0,0,10610509,0,40501419,0,0,0,0,0,11011709,0,0,0,0,0,0,0,21310419,-1181100
16,51,474.447668588255,0,0,456069.879687544,456070.926900311,2,1,0,32,3,0,41711109,42510418,4011071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41711109,0,0,20800409,0,0,0,0,0,0,21710009,0,0,0,0,0,-4011071,0,0,0,0
16,52,394.786157005001,0,0,456072.597406065,456073.644487945,2,0,0,11,19,102023356,24321870,207926183,123046693,0,20110309,0,0,20311019,0,21602009,0,40000019,21310719,-3011151,0,0,0,0,0,0,0,0,20101209,31801819,40310509,20601509,0,41500409,11800519,41810209,30300709,0,0,30900519,20110319,10011609,10410919,11311409,10001209
16,53,354.212041653227,1,0,456078.33874579,456079.38583383,3,0,1,15,9,92213937,95987106,20500209,10411919,0,0,0,0,0,31410909,40501419,20301609,0,31800619,31311609,0,20812009,0,-1051060,0,11011809,0,0,20500209,0,0,0,0,0,0,0,0,0,0,0,0,10411919,0,0,0
16,54,350.184965063818,1,0,456080.832942889,456081.880014375,3,1,1,14,9,101902347,2121090,105332537,73023957,41101719,20500419,0,0,0,40300209,0,0,0,0,0,0,0,-2121090,0,0,0,0,0,31910209,31412009,0,0,0,42010319,0,0,0,0,21710919,0,0,0,40301519,11011519,0
16,55,348.404135671444,0,0,456083.350663412,456084.397743368,3,0,0,9,31,117424834,248243311,216636612,229670432,31710019,11000909,11010019,10311519,0,0,10301609,40900719,-2190040,41901819,20011719,20111609,30601309,11201809,21501909,31011019,40601909,31300209,40901119,10100109,40211119,21511809,21410319,40300609,30501509,11700019,0,31501619,30510209,41211019,12001509,41311319,0,20611919,11811919,40710919
16,56,438.736380019691,0,0,456085.88021263,456086.927234457,3,1,0,29,31,208860982,206938402,189057522,170428414,30901809,0,20410409,31411809,21810909,20401909,21411919,30601909,31910309,10700809,30101419,11711609,0,41401509,40300309,21012019,21210009,30500719,30711919,11410819,21810309,21310919,21210709,30500709,40101419,12000719,0,22000409,-3170011,22011719,30311419,0,30312019,11611109,20500519,30511209
16,57,377.291991084348,0,0,456088.409635582,456089.456714382,3,1,0,8,31,142587034,178868141,195068712,219345722,11500819,10301309,11910909,41901619,21211509,0,0,-4050160,41710709,10900519,11711119,30100719,31910819,11010619,10912019,30510809,30300809,11510709,10311009,10910809,42001419,20110019,30111309,40801409,10611519,0,30211219,40710409,30610119,41701019,20311309,20400619,11801019,31911109,21900119,0
16,58,443.624229345005,0,0,456090.974418737,456092.021502927,3,1,0,19,19,163724484,226636284,65734848,93334876,40511809,10310609,30700619,0,10800819,0,40500409,0,30900219,40510319,0,0,31311219,0,40210009,41201309,41701909,31701519,-2011091,0,0,21111919,11800619,30811219,0,0,0,0,10201019,0,0,0,40211419,22010519,0,20911919
16,59,375.386049388908,1,0,456093.468607366,456094.515690402,3,0,1,2,3,42720660,0,11001919,31600219,40600519,-2120141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11001919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31600219
16,60,475.596392061561,1,0,456096.080446225,456097.1275308,3,1,1,34,3,0,32801018,0,14983149,0,0,0,0,0,0,0,0,0,12001009,0,0,0,20800009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11802019,0,0,-3181130,0,0
16,61,499.754232238047,1,0,456098.6452263,456099.69231896,3,0,1,26,31,281259531,222485801,207181114,176823664,21210919,21810319,40201609,31701619,31611619,40610719,11810809,41800209,40501709,41611409,21510009,22011609,31410119,41710909,11810809,10300219,21710109,20410609,10411319,0,41101019,40411309,30001919,20601909,31611819,-3030001,30011819,21010719,41701309,30200409,31900009,0,11010009,0,0,41001209
16,62,514.659535663668,0,0,456101.30413934,456102.351217756,3,0,0,36,9,22810918,21800109,41210728,108644427,0,0,0,0,11000009,11810909,0,0,0,0,0,0,0,0,0,0,21800109,0,0,0,10710019,0,0,0,30500709,0,0,21710419,0,30811709,41410019,0,11511109,0,0,-3201171
16,63,405.51886864705,1,0,456104.045378206,456105.092470095,3,0,1,35,19,123626636,186547713,145212866,76545176,20702009,31911709,40711009,0,0,30301909,0,0,0,0,30510719,41401819,10010719,41000909,31101619,0,20910219,11611709,0,0,31300719,0,30210509,41700319,42001319,0,0,0,0,20601919,0,0,11811619,20110219,-3011010,21010409
16,64,484.212973271497,0,0,456106.633700569,456107.680787839,3,1,0,5,9,42912070,82113437,74413747,51521038,0,0,0,0,-1001051,41911019,0,0,0,0,0,0,0,0,20400009,0,20611609,41101819,22001809,0,0,0,21600419,0,0,0,30811519,0,30110319,0,21410719,0,0,0,0,0
16,65,354.776394437067,1,0,456109.26908133,456110.316155511,3,0,1,22,3,21601709,0,44763129,0,0,0,21601709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4151201,0,0,10100919,0,30511009,0,0,0,0,0,0,0,0,0
16,66,518.112635472789,0,0,456111.845662769,456112.892699609,3,0,0,21,9,51210728,0,46702947,102443756,30510019,0,0,0,0,0,0,20700709,0,0,0,0,0,0,0,0,0,0,11311509,0,-3170000,21910319,0,0,0,10311119,0,0,0,0,41810809,10211419,0,30210009,20211519,0
16,67,456.32871100679,1,0,456114.504519219,456115.551606489,3,1,1,32,3,0,41711109,42510418,4011071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41711109,0,0,20800409,0,0,0,0,0,0,21710009,0,0,0,0,0,-4011071,0,0,0,0
16,68,424.672986206133,1,0,456117.034059199,456118.081092959,3,1,1,25,3,61401318,0,1040190,31910219,0,0,0,0,0,0,0,41200309,20201009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1040190,0,0,0,0,31910219,0,0,0,0,0,0
16,69,583.34003580967,0,0,456119.563489849,456120.610577504,3,1,0,1,19,54622989,209435993,207156894,124035836,-3111161,41400309,0,0,0,0,10111519,0,0,0,21400919,21500709,40610609,0,41502019,11610509,32000509,40810719,41410609,41811219,22011419,40302009,21310819,0,0,0,40310819,0,40112009,0,30200609,41711809,12011409,0,0,0
16,70,478.071691002697,0,0,456122.257688796,456123.304776835,3,0,0,27,31,248827941,175749723,170084295,249458521,32000709,21210019,31101519,31501819,20700009,40400119,10811119,40900809,20201819,10111719,20011509,31911619,0,10001519,20401719,41301219,0,42010419,41000109,10411819,21300409,0,20500509,31910209,0,40800119,-4161121,10911209,21510609,41111109,21100419,21410609,40601019,41301209,30310519,21201819
16,71,465.111595345661,1,0,456124.928359313,456125.975442348,3,1,1,3,31,228035884,260263501,177516883,255338542,41410909,40101819,-3080191,40310409,0,40011119,31710009,10200219,21211209,21901909,31110609,41711219,31011809,20401209,10201309,42001709,20011709,41912019,10001309,0,0,30511209,40300119,21200309,31900919,21801709,21801309,40311819,30801919,20810209,20400519,31401819,40010019,0,40000919,31601319
16,72,547.943260346074,0,0,456127.46960865,456128.516687065,3,1,0,13,19,77936265,138475295,122031966,133937985,0,0,21711409,11711919,20600019,0,12011409,0,11901509,41710109,0,21301909,-4051150,30400609,0,0,10800209,30211309,40600919,0,0,10810219,0,0,0,30210309,40410519,0,0,0,10311519,31101519,31502019,30311419,30711509,0
16,73,550.903610128444,1,0,456130.175568538,456131.222654653,3,1,1,7,9,2120171,84312266,92402047,63102128,0,0,0,0,0,0,-2120171,0,0,0,30500219,0,0,0,21300819,11611209,20900019,0,31400319,0,0,0,0,0,0,20000809,41000919,0,0,0,0,0,0,41900919,0,21201209
16,74,513.769890880212,0,0,456132.975646377,456134.022747121,3,0,0,6,19,64352318,103712046,187028523,167327284,0,0,41611709,0,0,-2140090,0,20600519,0,10900509,31310609,31400719,30100209,0,0,0,0,0,0,0,41210919,10201919,41910119,31500909,10101619,41401719,10701319,0,11101609,31501619,40511909,0,11910419,30401319,0,41900409
16,75,432.427254854701,0,0,456135.611027138,456136.658112484,3,1,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-41301001,0,0,0,0,0,0
16,76,432.426099956501,1,0,456138.105222697,456139.152307272,3,0,1,11,19,97143604,138864935,96425365,52622147,11710109,0,11000119,21010219,11611619,0,21410419,20401119,0,31901209,-1130070,11810819,31710019,40711709,21601109,0,0,0,11701409,20201309,21811219,0,0,0,0,31301219,11410209,10400009,30411719,0,11810419,0,0,0,0,0
16,77,465.448821138125,0,0,456140.670003928,456141.717083883,3,0,0,12,3,0,45612610,21800019,20901419,0,0,0,0,0,0,0,0,0,41511419,0,-4101191,0,0,0,0,0,0,0,0,0,0,0,21800019,0,0,0,0,0,0,20901419,0,0,0,0,0
16,78,434.666187793482,1,0,456143.340667131,456144.387752476,3,0,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-30311291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,79,792.97822638182,0,0,456149.458499061,456150.505582867,4,1,0,13,19,77936265,138475295,122031966,133937985,0,0,21711409,11711919,20600019,0,12011409,0,11901509,41710109,0,21301909,-4051150,30400609,0,0,10800209,30211309,40600919,0,0,10810219,0,0,0,30210309,40410519,0,0,0,10311519,31101519,31502019,30311419,30711509,0
16,80,378.398368891794,1,0,456152.446820886,456153.493906616,4,1,1,8,31,142587034,178868141,195068712,219345722,11500819,10301309,11910909,41901619,21211509,0,0,-4050160,41710709,10900519,11711119,30100719,31910819,11010619,10912019,30510809,30300809,11510709,10311009,10910809,42001419,20110019,30111309,40801409,10611519,0,30211219,40710409,30610119,41701019,20311309,20400619,11801019,31911109,21900119,0
16,81,325.857357122004,1,0,456154.964538714,456156.011684498,4,0,1,11,19,115333465,119284776,135564084,83643756,0,31311619,30710109,0,11010509,0,10300109,32001119,0,0,-3161120,31111509,0,0,31100609,32010319,0,21901219,0,0,0,21010409,21110619,31410019,30110009,10412009,21511019,31210619,11410219,20311909,20711009,0,0,0,0,0
16,82,415.659125312231,1,0,456157.517565546,456158.564642422,4,1,1,34,3,0,32801018,0,14983149,0,0,0,0,0,0,0,0,0,12001009,0,0,0,20800009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11802019,0,0,-3181130,0,0
16,83,418.850836635102,1,0,456160.023528207,456161.070616246,4,0,1,9,31,167887084,205746093,307335822,217866121,30811119,20811509,11400109,11601319,20410209,40600519,0,31201219,-1051081,31501919,20500819,20001619,21910409,40310009,41210209,0,0,30311109,41001619,41000319,40310219,41801609,40910109,0,20700819,40501119,41110009,10311209,21110519,41111519,40710219,21300809,30600409,20600409,10510819,21610209
16,84,514.863564982079,0,0,456162.635353207,456163.682460494,4,0,0,36,3,11801809,0,11900119,13401129,0,11801809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11900119,0,0,0,0,0,0,0,0,11210109,0,0,0,-2191020
16,85,450.50733134849,1,0,456165.364845374,456166.411921865,4,1,1,7,9,2120171,84312266,92402047,63102128,0,0,0,0,0,0,-2120171,0,0,0,30500219,0,0,0,21300819,11611209,20900019,0,31400319,0,0,0,0,0,0,20000809,41000919,0,0,0,0,0,0,41900919,0,21201209
16,86,451.977112272289,0,0,456167.953160423,456169.000229214,4,1,0,14,9,101902347,2121090,105332537,73023957,41101719,20500419,0,0,0,40300209,0,0,0,0,0,0,0,-2121090,0,0,0,0,0,31910209,31412009,0,0,0,42010319,0,0,0,0,21710919,0,0,0,40301519,11011519,0
16,87,513.625145540573,0,0,456170.482649972,456171.529735317,4,1,0,32,3,0,41711109,42510418,4011071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41711109,0,0,20800409,0,0,0,0,0,0,21710009,0,0,0,0,0,-4011071,0,0,0,0
